Key,Value
id,identification
formattedAddress,identification
addressLine1,identification
addressLine2,identification
city,identification
state,identification
stateFips,unused
zipCode,identification
county,identification
countyFips,unused
latitude,auxiliaryPredictionFeatures
longitude,auxiliaryPredictionFeatures
bedrooms,keyPredictionFeatures
bedrooms_nan,auxiliaryPredictionFeatures
bathrooms,keyPredictionFeatures
bathrooms_nan,auxiliaryPredictionFeatures
sqFt,keyPredictionFeatures
lotSize,keyPredictionFeatures
yearBuilt,keyPredictionFeatures
yearBuilt_nan,auxiliaryPredictionFeatures
assessorID,unused
legalDescription,unused
subdivision,unused
zoning,unused
saleDate,unused
saleMonth,auxiliaryPredictionFeatures
saleYear,keyPredictionFeatures
price,target
taxAssessments,unused
propertyTaxes,unused
history,unused
owner,unused
ownerOccupied,unused
hoa,unused
trueValueHomePriceIndex,unused
availableValueHomePriceIndex,keyPredictionFeatures
trueMinusAvailableHomePriceIndex,unused
monthAvgTrueMinusAvailableHomePriceIndex,unused
predictedValueHomePriceIndex,unused
pricePerSqFt,unused
timeNormalizedPricePerSqFt,unused
features_unitCount,unused
features_floorCount,keyPredictionFeatures
features_roomCount,keyPredictionFeatures
features_garageSpaces,auxiliaryPredictionFeatures
features_cooling_True,auxiliaryPredictionFeatures
features_cooling_nan,auxiliaryPredictionFeatures
features_coolingType_Central,auxiliaryPredictionFeatures
features_coolingType_nan,auxiliaryPredictionFeatures
features_exteriorType_AluminumVinylSiding,auxiliaryPredictionFeatures
features_exteriorType_Brick,auxiliaryPredictionFeatures
features_exteriorType_BrickStone,auxiliaryPredictionFeatures
features_exteriorType_Composition,auxiliaryPredictionFeatures
features_exteriorType_Other,auxiliaryPredictionFeatures
features_exteriorType_Stone,auxiliaryPredictionFeatures
features_exteriorType_StoneVeneer,auxiliaryPredictionFeatures
features_exteriorType_Stucco,auxiliaryPredictionFeatures
features_exteriorType_Wood,auxiliaryPredictionFeatures
features_exteriorType_nan,auxiliaryPredictionFeatures
features_fireplace_True,auxiliaryPredictionFeatures
features_fireplace_nan,auxiliaryPredictionFeatures
features_foundationType_Block,auxiliaryPredictionFeatures
features_foundationType_Other,auxiliaryPredictionFeatures
features_foundationType_Raised,auxiliaryPredictionFeatures
features_foundationType_Stone,auxiliaryPredictionFeatures
features_foundationType_Wood,auxiliaryPredictionFeatures
features_foundationType_nan,auxiliaryPredictionFeatures
features_garage_True,auxiliaryPredictionFeatures
features_garage_nan,auxiliaryPredictionFeatures
features_garageType_Attached,auxiliaryPredictionFeatures
features_garageType_Basement,auxiliaryPredictionFeatures
features_garageType_Carport,auxiliaryPredictionFeatures
features_garageType_Detached,auxiliaryPredictionFeatures
features_garageType_Garage,auxiliaryPredictionFeatures
features_garageType_Mixed,auxiliaryPredictionFeatures
features_garageType_nan,auxiliaryPredictionFeatures
features_roofType_Asphalt,auxiliaryPredictionFeatures
features_roofType_Metal,auxiliaryPredictionFeatures
features_roofType_Other,auxiliaryPredictionFeatures
features_roofType_RollComposition,auxiliaryPredictionFeatures
features_roofType_Slate,auxiliaryPredictionFeatures
features_roofType_WoodShingle,auxiliaryPredictionFeatures
features_roofType_nan,auxiliaryPredictionFeatures
features_architectureType_BiLevel,auxiliaryPredictionFeatures
features_architectureType_Bungalow,auxiliaryPredictionFeatures
features_architectureType_CapeCod,auxiliaryPredictionFeatures
features_architectureType_Colonial,auxiliaryPredictionFeatures
features_architectureType_Contemporary,auxiliaryPredictionFeatures
features_architectureType_Cottage,auxiliaryPredictionFeatures
features_architectureType_Duplex,auxiliaryPredictionFeatures
features_architectureType_Modern,auxiliaryPredictionFeatures
features_architectureType_Other,auxiliaryPredictionFeatures
features_architectureType_Ranch,auxiliaryPredictionFeatures
features_architectureType_Spanish,auxiliaryPredictionFeatures
features_architectureType_SplitLevel,auxiliaryPredictionFeatures
features_architectureType_Traditional,auxiliaryPredictionFeatures
features_architectureType_Tudor,auxiliaryPredictionFeatures
features_architectureType_Victorian,auxiliaryPredictionFeatures
features_architectureType_nan,auxiliaryPredictionFeatures
features_viewType_CornerAverage,auxiliaryPredictionFeatures
features_viewType_nan,auxiliaryPredictionFeatures
features_heating_True,auxiliaryPredictionFeatures
features_heating_nan,auxiliaryPredictionFeatures
features_heatingType_Central,auxiliaryPredictionFeatures
features_heatingType_ForcedAir,auxiliaryPredictionFeatures
features_heatingType_HotWater,auxiliaryPredictionFeatures
features_heatingType_nan,auxiliaryPredictionFeatures
features_pool_True,auxiliaryPredictionFeatures
features_pool_nan,auxiliaryPredictionFeatures
features_poolType_InGroundVinylPool,auxiliaryPredictionFeatures
features_poolType_PoolandHotTubSpa,auxiliaryPredictionFeatures
features_poolType_nan,auxiliaryPredictionFeatures
features_fireplaceType_Other,auxiliaryPredictionFeatures
features_fireplaceType_nan,auxiliaryPredictionFeatures
features_floorCount_nan,auxiliaryPredictionFeatures
features_garageSpaces_nan,auxiliaryPredictionFeatures
features_roomCount_nan,auxiliaryPredictionFeatures
