Key,Value
id,identification
formattedAddress,identification
addressLine1,identification
addressLine2,identification
city,identification
state,identification
stateFips,unused
zipCode,identification
county,identification
countyFips,unused
latitude,predictionFeatures
longitude,predictionFeatures
bedrooms,predictionFeatures
bedrooms_nan,predictionFeatures
bathrooms,predictionFeatures
bathrooms_nan,predictionFeatures
sqFt,predictionFeatures
lotSize,predictionFeatures
yearBuilt,predictionFeatures
yearBuilt_nan,predictionFeatures
assessorID,unused
legalDescription,unused
subdivision,unused
zoning,unused
saleDate,unused
saleMonth,predictionFeatures
saleYear,predictionFeatures
price,target
taxAssessments,unused
propertyTaxes,unused
history,unused
owner,unused
ownerOccupied,unused
hoa,unused
trueValueHomePriceIndex,unused
availableValueHomePriceIndex,predictionFeatures
trueMinusAvailableHomePriceIndex,unused
monthAvgTrueMinusAvailableHomePriceIndex,unused
predictedValueHomePriceIndex,unused
pricePerSqFt,unused
timeNormalizedPricePerSqFt,unused
